model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_tl_20250829,random,7,64,40,52.7273530960083,7.563663313950453,-1.2354684633357311,2.740682485388257,0.9151612616406922,0.005442536583567271,False
resnet50_tl_20250829,random,7,8,40,0.9641834259033203,0.28452315759040503,-0.7098355138483997,1.8209836870224887,0.9323827659540147,0.019278075492597684,False
resnet50_tl_20250829,random,8,16,40,4.286976623535156,0.8577377363397065,-1.0412974376846629,4.071297651652279,0.8951894548101516,0.001389194083051133,False
resnet50_tl_20250829,random,8,32,40,22.687571907043456,5.213477615385031,-0.5420274787133661,-0.36800509596332454,0.9543814998050583,0.10735958274911478,True
resnet50_tl_20250829,random,8,64,40,80.93133325576783,7.505478345075392,-0.5072749053634485,0.2647538031403118,0.9709991428661943,0.38689957466602676,True
resnet50_tl_20250829,random,8,8,40,1.6173765182495117,0.5670346476764163,-0.4873780188779159,1.1673800298358836,0.9637469325656074,0.22449014011464952,True
resnet50_tl_20250829,targeted,1,16,40,2.070724868774414,0.2843908320075294,0.7339346749784359,0.19183038301229827,0.9480160610384495,0.06481310832991617,True
resnet50_tl_20250829,targeted,1,32,40,6.65107536315918,0.7925314272000443,-0.7104374973621662,0.8175913174799452,0.9648784720151264,0.24497602853885236,True
resnet50_tl_20250829,targeted,1,64,40,14.277812385559082,1.3838751606522413,-0.676813078957382,-0.1350740113892699,0.9420590241162603,0.04058932782486695,False
resnet50_tl_20250829,targeted,1,8,40,1.0521642684936523,0.20672622430933957,1.5609571704424123,4.205085291889656,0.8859125290112495,0.0007629073412524353,False
resnet50_tl_20250829,targeted,2,16,40,3.818344306945801,0.6287849291824457,0.3248607031095276,2.173068142196481,0.9410216697469125,0.03743731517726626,False
resnet50_tl_20250829,targeted,2,32,40,11.907444381713868,1.5028471956103275,-0.8974149456775264,0.24037534872934518,0.9215181578828369,0.008598631719677768,False
resnet50_tl_20250829,targeted,2,64,40,26.89523811340332,2.82208795165145,-0.6968808615507777,-0.05191623648826971,0.9512067020249734,0.08344307339648617,True
resnet50_tl_20250829,targeted,2,8,40,1.935931396484375,0.3556310056753773,0.982059370380639,2.447158927770972,0.9432712065481441,0.044622498761941645,False
resnet50_tl_20250829,targeted,3,16,40,5.464247131347657,0.6701022956379,-0.37110942549038184,0.5789627894684206,0.9759581465592233,0.5426983570577322,True
resnet50_tl_20250829,targeted,3,32,40,16.785051536560058,2.0708410155724057,-1.3510159101676187,2.457175584047092,0.8971872769795848,0.0015850242419187803,False
resnet50_tl_20250829,targeted,3,64,40,38.297635841369626,3.7733101009769014,-0.7209963284211668,0.1582799466861129,0.9470894615957021,0.06024046688131826,True
resnet50_tl_20250829,targeted,3,8,40,2.6910709381103515,0.44842613065006803,1.1723964274722622,2.654715025831333,0.9126553600940004,0.0045586290787655555,False
resnet50_tl_20250829,targeted,4,16,40,7.024402236938476,0.8087576670603787,-0.015657697238500093,0.43697420027100575,0.9823885661355198,0.7770401732975333,True
resnet50_tl_20250829,targeted,4,32,40,21.19491672515869,2.160285806982196,-1.138588581509829,1.6848289596185912,0.9030287465497606,0.0023445477346488814,False
resnet50_tl_20250829,targeted,4,64,40,49.319295692443845,4.044513152034427,-0.40303971888877066,-0.5650895166542624,0.9698585513231605,0.35621687367117916,True
resnet50_tl_20250829,targeted,4,8,40,3.4186935424804688,0.5351877981081093,1.2736822306990245,2.8667611230998284,0.9081622587340427,0.003331967138745111,False
