case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,random,5,64,3,32,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,5,64,4,96,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,5,64,5,0,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,1,160,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,2,0,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,3,32,128,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,4,96,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,5,64,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,6,64,6,128,64,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,1,0,64,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,2,160,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,3,64,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,4,128,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,5,0,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,6,160,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,7,64,7,64,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,1,64,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,2,0,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,3,0,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,4,160,32,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,5,160,96,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,6,0,160,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,7,96,0,64,64,64
ns_cow_202,resnet50_geirhos_tl,random,8,64,8,128,160,64,64,64
ns_cow_202,resnet50_tl_20250829,targeted,1,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,2,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,2,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,3,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,3,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,3,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,4,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,4,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,4,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,4,8,4,56,36,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,5,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,5,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,5,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,5,8,4,56,36,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,5,8,5,48,172,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,4,56,36,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,5,48,172,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,6,8,6,64,156,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,4,56,36,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,5,48,172,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,6,64,156,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,7,8,7,92,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,1,60,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,2,76,32,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,3,76,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,4,56,36,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,5,48,172,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,6,64,156,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,7,92,176,8,8,8
ns_cow_202,resnet50_tl_20250829,targeted,8,8,8,104,40,8,8,8
ns_cow_202,resnet50_tl_20250829,random,1,8,1,24,164,8,8,8
ns_cow_202,resnet50_tl_20250829,random,2,8,1,116,152,8,8,8
ns_cow_202,resnet50_tl_20250829,random,2,8,2,96,108,8,8,8
ns_cow_202,resnet50_tl_20250829,random,3,8,1,172,48,8,8,8
ns_cow_202,resnet50_tl_20250829,random,3,8,2,56,116,8,8,8
ns_cow_202,resnet50_tl_20250829,random,3,8,3,180,104,8,8,8
ns_cow_202,resnet50_tl_20250829,random,4,8,1,188,180,8,8,8
ns_cow_202,resnet50_tl_20250829,random,4,8,2,92,116,8,8,8
ns_cow_202,resnet50_tl_20250829,random,4,8,3,140,116,8,8,8
ns_cow_202,resnet50_tl_20250829,random,4,8,4,116,84,8,8,8
ns_cow_202,resnet50_tl_20250829,random,5,8,1,60,108,8,8,8
ns_cow_202,resnet50_tl_20250829,random,5,8,2,168,32,8,8,8
ns_cow_202,resnet50_tl_20250829,random,5,8,3,160,52,8,8,8
ns_cow_202,resnet50_tl_20250829,random,5,8,4,72,24,8,8,8
