case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_confidence,post_occlusion_confidence,prediction_changed,baseline_class_still_top1
s_bird_17,shape_biased,8,4,4,36,8.0,40.0,5,bird,18,dolphin,5.135880470275879,4.790737628936768,0.34514284133911133,0.27608194947242737,0.3017236888408661,1,0
s_bird_17,shape_biased,8,4,4,40,8.0,44.0,5,bird,18,dolphin,5.135880470275879,4.798834800720215,0.33704566955566406,0.27608194947242737,0.3024822771549225,1,0
s_bird_17,shape_biased,8,4,4,44,8.0,48.0,5,bird,18,dolphin,5.135880470275879,4.793179988861084,0.3427004814147949,0.27608194947242737,0.30513614416122437,1,0
s_bird_17,shape_biased,8,4,4,48,8.0,52.0,5,bird,18,dolphin,5.135880470275879,4.8145833015441895,0.32129716873168945,0.27608194947242737,0.30793139338493347,1,0
s_bird_17,shape_biased,8,4,4,52,8.0,56.0,5,bird,18,dolphin,5.135880470275879,4.835201263427734,0.30067920684814453,0.27608194947242737,0.3083699941635132,1,0
s_bird_17,shape_biased,8,4,4,56,8.0,60.0,5,bird,18,dolphin,5.135880470275879,4.926586151123047,0.20929431915283203,0.27608194947242737,0.304757684469223,1,0
s_bird_17,shape_biased,8,4,4,60,8.0,64.0,5,bird,18,dolphin,5.135880470275879,4.875336170196533,0.2605443000793457,0.27608194947242737,0.3135274648666382,1,0
s_bird_17,shape_biased,8,4,4,64,8.0,68.0,5,bird,18,dolphin,5.135880470275879,4.8783440589904785,0.2575364112854004,0.27608194947242737,0.30655789375305176,1,0
s_bird_17,shape_biased,8,4,4,68,8.0,72.0,5,bird,18,dolphin,5.135880470275879,4.90846586227417,0.22741460800170898,0.27608194947242737,0.30453017354011536,1,0
s_bird_17,shape_biased,8,4,4,72,8.0,76.0,5,bird,18,dolphin,5.135880470275879,4.953019618988037,0.1828608512878418,0.27608194947242737,0.301293283700943,1,0
s_bird_17,shape_biased,8,4,4,76,8.0,80.0,5,bird,18,dolphin,5.135880470275879,4.919043064117432,0.21683740615844727,0.27608194947242737,0.3085341453552246,1,0
s_bird_17,shape_biased,8,4,4,80,8.0,84.0,5,bird,18,dolphin,5.135880470275879,4.967965602874756,0.16791486740112305,0.27608194947242737,0.295170396566391,1,0
s_bird_17,shape_biased,8,4,4,84,8.0,88.0,5,bird,18,dolphin,5.135880470275879,4.980471611022949,0.1554088592529297,0.27608194947242737,0.2885408401489258,1,0
s_bird_17,shape_biased,8,4,4,88,8.0,92.0,5,bird,18,dolphin,5.135880470275879,5.036046504974365,0.09983396530151367,0.27608194947242737,0.26961857080459595,1,0
s_bird_17,shape_biased,8,4,4,92,8.0,96.0,5,bird,5,bird,5.135880470275879,5.074351787567139,0.061528682708740234,0.27608194947242737,0.26019173860549927,0,1
s_bird_17,shape_biased,8,4,4,96,8.0,100.0,5,bird,5,bird,5.135880470275879,5.06721830368042,0.06866216659545898,0.27608194947242737,0.2651156485080719,0,1
s_bird_17,shape_biased,8,4,4,100,8.0,104.0,5,bird,5,bird,5.135880470275879,5.0830769538879395,0.05280351638793945,0.27608194947242737,0.2658652067184448,0,1
s_bird_17,shape_biased,8,4,4,104,8.0,108.0,5,bird,5,bird,5.135880470275879,5.094141483306885,0.04173898696899414,0.27608194947242737,0.2657018005847931,0,1
s_bird_17,shape_biased,8,4,4,108,8.0,112.0,5,bird,5,bird,5.135880470275879,5.119546890258789,0.016333580017089844,0.27608194947242737,0.27437394857406616,0,1
s_bird_17,shape_biased,8,4,4,112,8.0,116.0,5,bird,5,bird,5.135880470275879,5.182945728302002,-0.04706525802612305,0.27608194947242737,0.28647783398628235,0,1
